Date,Time,X,Y   S,peed  Te,mperature,Diameter,EnergyA,EnergyB
12/6/2021,08:07.3,-17.07,32.75,163,2867,15,320750.6,319313.2
12/6/2021,08:07.3,-17.07,32.75,184,3026,30,1481658.4,1510436.4
12/6/2021,08:07.3,-17.07,32.75,160,3111,29,1686792.9,1585221.1
12/6/2021,08:07.3,-17.07,32.75,120,3175,17,613338.8,576181.2
12/6/2021,08:07.4,-17.07,32.75,152,3894,12,817176.3,617547.5
12/6/2021,08:07.4,-17.07,32.75,80,3196,19,859848.9,757067.6
12/6/2021,08:07.4,-17.07,32.75,173,3087,30,1880754,1709022.9
12/6/2021,08:07.4,-17.07,32.75,144,3180,26,1476677.7,1377841.7
12/6/2021,08:07.4,-17.07,32.75,146,3089,27,1328607.5,1341597.3
12/6/2021,08:07.5,-17.07,32.75,166,3522,13,607172.1,510033.9
12/6/2021,08:07.5,-17.07,32.75,142,3182,39,3361946.9,3192070.2
12/6/2021,08:07.5,-17.07,32.75,142,2994,36,2109571.1,2120928.8
12/6/2021,08:07.6,-17.07,32.75,169,3245,27,1798729.4,1699096.4
12/6/2021,08:07.6,-17.07,32.75,180,3284,19,965288.4,896017.5
12/6/2021,08:07.6,-17.07,32.75,184,3113,20,821945.8,804953.2
12/6/2021,08:07.7,-17.07,32.75,144,3292,23,1421505.3,1324688.4
12/6/2021,08:07.7,-17.07,32.75,163,3433,15,779148.7,652167.3
12/6/2021,08:07.7,-17.07,32.75,114,2666,32,879915.8,1045200
12/6/2021,08:07.7,-17.07,32.75,154,3259,17,732664.3,677048.7
12/6/2021,08:07.7,-17.07,32.75,163,3267,31,2455936.4,2267197.8
12/6/2021,08:07.7,-17.07,32.75,70,4143,20,3049904.8,2162809.8
12/6/2021,08:07.7,-17.07,32.75,173,3437,19,1127912.8,1023972.9
12/6/2021,08:07.7,-17.07,32.75,157,3211,40,3803874,3434221.5
12/6/2021,08:07.8,-17.07,32.75,201,3493,15,816823,666746.4
12/6/2021,08:07.8,-17.07,32.75,157,3437,23,1813563.9,1558297.5
